// File: smoltestinput.txt
// Data file for SeaPort projects
// Date: Thu Dec 01 01:05:49 EST 2016
// parameters: 8 15 20 20 5 30
//   ports, docks, pships, cships, jobs, persons

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship              Adverse 30117 10005 165.54 434.41 77.56 22.34 106 215 53
    pship           Abominates 30004 20004 57.79 213.23 91.86 19.94 1480 1068 740
    pship              Adjurer 30150 20115 182.94 269.43 65.48 20.30 1070 897 535
    pship            Abhorrent 30021 20016 188.99 196.22 88.07 29.93 916 478 458
    pship       Agglutinations 30015 10000 245.08 371.21 96.31 23.87 1555 543 543

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship             Albanian 40047 10002 227.66 127.24 128.18 15.90 163.13 161.35 224.28
    cship               Aikido 40130 10006 168.99 119.50 64.65 19.24 171.51 187.38 893.52

// person name index parent skill
//    person <string> <int> <int> <string>
    person               Albert 50076 10007 janitor

// job    name index parent duration [skill]+ (one or more, matches skill in person, may repeat)
//    job    <string> <int> <int> <double> [<string>]
    job         Job_37_65_90 60355 30122 115.00 driver
    job         Job_97_81_36 60349 40119 76.11 mate
    job         Job_89_15_28 60272 40090 40.55 clerk captain
    job         Job_44_82_35 60277 40091 67.00 mechanic
    job         Job_56_45_92 60093 40022 28.72
    job         Job_48_22_13 60377 40121 58.11 captain
    job         Job_78_15_60 60255 40081 47.58
    job         Job_82_57_27 60195 30076 71.01 clerk
    job         Job_98_75_60 60034 40007 72.14 stevedore mate
    job         Job_94_47_83 60326 40106 99.28
    job         Job_34_71_54 60319 40103 34.50 craneOperator craneOperator
    job         Job_70_16_22 60438 40153 112.96 crew clerk mate
    job         Job_99_32_22 60130 30046 27.91 inspector clerk
    job         Job_50_67_94 60363 30131 95.24 electrician craneOperator electrician carpenter
    job         Job_29_63_85 60362 30129 58.36 stevedore crew
    job         Job_87_78_16 60279 40092 20.67 painter
    job         Job_43_91_89 60111 40033 50.62 mechanic painter
    job         Job_43_87_96 60191 30072 46.70 crew carpenter
    job         Job_75_78_98 60056 30020 92.68
    job         Job_51_91_27 60327 40106 23.13 captain
    job         Job_29_13_89 60125 30043 85.22 cleaner janitor driver
    job         Job_69_90_22 60394 40135 23.10 electrician
    job         Job_81_99_32 60035 40008 30.10
    job         Job_66_86_42 60095 40023 22.13 mate
    job         Job_65_87_30 60419 30159 79.09 craneOperator
    job         Job_41_11_15 60083 30034 32.12 driver
    job         Job_75_25_67 60177 30064 90.99 stevedore stevedore
    job         Job_22_48_95 60106 40029 63.68
    job         Job_84_82_27 60166 40052 42.39 captain
    job         Job_81_28_23 60222 40076 85.31 electrician carpenter
    job         Job_19_63_67 60003 30001 54.09 painter engineer
    job         Job_40_96_55 60301 30111 97.93
    job         Job_92_12_99 60217 40073 39.76 electrician
    job         Job_21_91_76 60238 30088 96.01
    job         Job_76_19_12 60262 40083 21.06 mate
    job         Job_96_93_90 60254 30097 60.54 inspector
    job         Job_25_50_70 60221 40076 77.30 driver captain
    job         Job_44_44_54 60080 30032 33.65 mechanic janitor crew
    job         Job_99_41_13 60261 40083 33.79 mechanic janitor janitor
    job         Job_96_82_28 60426 40143 70.73 craneOperator
    job         Job_72_71_86 60148 30056 31.93
    job         Job_25_69_62 60405 30145 114.30 mechanic cleaner mechanic
    job         Job_81_93_58 60325 40105 108.24 driver engineer
    job         Job_33_61_14 60244 30090 64.08
    job         Job_77_30_22 60181 30066 52.43 captain driver
    job         Job_57_11_60 60237 30087 68.74 carpenter
    job         Job_43_98_42 60046 40014 44.69 mate stevedore mechanic stevedore
    job         Job_34_89_45 60411 30151 90.49 crew stevedore stevedore
    job         Job_57_13_18 60351 30121 24.99
    job         Job_90_85_38 60027 40002 112.12 crew electrician
    job         Job_78_31_47 60067 30026 43.20
    job         Job_27_98_80 60287 40097 64.36 craneOperator cleaner
    job         Job_18_16_48 60174 40059 106.21 mechanic captain
    job         Job_69_92_52 60179 30065 39.80 crew
    job         Job_26_25_68 60274 40090 39.59 inspector
    job         Job_78_20_43 60182 30066 89.18 cleaner
    job         Job_15_61_63 60048 40017 73.06 cleaner
    job         Job_67_16_39 60440 40154 78.99 stevedore
    job         Job_19_15_66 60198 30079 40.79 clerk driver
    job         Job_99_94_31 60009 30006 35.75 painter electrician
    job         Job_58_76_22 60441 40155 117.11 carpenter driver
