// File: testinput.txt
// Data file for SeaPort projects
// Date: Thu Dec 01 00:43:37 EST 2016
// parameters: 7 15 20 20 5 30
//   ports, docks, pships, cships, jobs, persons

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship              Adjoint 30097 10004 101.80 315.25 72.90 20.50 635 184 184

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship              Adultly 40053 10002 62.30 449.10 128.63 16.48 195.06 101.48 823.13

// person name index parent skill
//    person <string> <int> <int> <string>
    person               Amanda 50017 10001 painter
    person              Alfonso 50070 10006 mechanic
    person              Alfonso 50013 10001 stevedore

// job    name index parent duration [skill]+ (one or more, matches skill in person, may repeat)
//    job    <string> <int> <int> <double> [<string>]
    job         Job_83_46_62 60354 30130 42.48 inspector
    job         Job_87_16_12 60356 30131 49.20 engineer crew mate
    job         Job_99_36_10 60252 30096 38.55 painter engineer clerk
    job         Job_99_87_83 60162 40057 94.15 crew craneOperator stevedore
    job         Job_18_87_42 60095 40032 70.03 engineer
    job         Job_99_34_82 60327 40111 58.66 painter janitor driver electrician
    job         Job_66_87_93 60339 40117 108.58 mechanic carpenter painter
    job         Job_68_63_29 60249 30094 112.98 mate stevedore inspector
    job         Job_26_64_36 60282 40097 49.57
    job         Job_98_51_20 60115 30045 60.27 electrician
    job         Job_55_21_83 60182 30077 84.19
    job         Job_50_20_93 60185 30078 20.82 cleaner
    job         Job_41_74_80 60280 40095 119.26 mate inspector
    job         Job_61_25_29 60085 40026 84.49 clerk
    job         Job_37_98_62 60029 40004 59.41 inspector mechanic mate
    job         Job_90_32_41 60062 30027 50.19
    job         Job_38_52_95 60384 40128 93.91 driver
    job         Job_32_17_51 60382 40127 26.57 craneOperator carpenter janitor
    job         Job_54_20_60 60350 30124 76.49 inspector
    job         Job_93_34_64 60031 40006 72.13 carpenter carpenter
    job         Job_51_39_15 60265 40085 100.10 craneOperator inspector
    job         Job_95_63_85 60264 40084 55.42 carpenter stevedore
    job         Job_43_67_20 60238 30087 65.79
    job         Job_69_20_30 60400 40139 84.53 mechanic
    job         Job_78_25_44 60341 40119 64.76
    job         Job_60_64_44 60393 40132 26.79
    job         Job_23_23_41 60379 40125 82.95 inspector mate
    job         Job_53_51_66 60254 30099 49.02
    job         Job_49_10_96 60151 40050 73.18 painter cleaner driver
    job         Job_68_56_34 60380 40126 51.39
    job         Job_61_46_88 60247 30091 95.37 crew crew
    job         Job_87_25_91 60385 40129 80.87 clerk
    job         Job_71_96_79 60072 30035 61.72 mechanic cleaner
    job         Job_28_97_78 60358 30132 33.71 engineer carpenter
    job         Job_43_80_30 60296 30105 76.61 crew janitor
    job         Job_38_17_98 60263 40084 95.80
    job         Job_54_65_63 60040 40011 104.11 mechanic driver craneOperator
    job         Job_11_30_63 60106 30040 38.41 inspector craneOperator clerk
    job         Job_85_39_13 60148 40048 85.30 painter cleaner
    job         Job_39_99_88 60312 30119 92.76 janitor engineer
    job         Job_26_23_58 60023 30018 60.27 janitor electrician carpenter
    job         Job_65_87_12 60005 30003 86.29 craneOperator inspector
    job         Job_94_84_78 60174 30069 98.84 inspector
    job         Job_49_57_52 60387 40130 20.69 clerk carpenter
    job         Job_39_69_65 60154 40053 24.82 engineer
    job         Job_84_44_52 60253 30099 61.20 captain painter craneOperator
    job         Job_71_47_35 60046 40015 83.93 captain
    job         Job_27_83_72 60128 30055 27.97 janitor electrician
    job         Job_16_14_84 60011 30011 79.89 driver
    job         Job_99_68_92 60013 30012 35.97 carpenter engineer janitor
    job         Job_29_70_77 60294 30104 110.60 clerk
    job         Job_51_36_18 60201 40068 82.07 janitor
    job         Job_27_27_90 60188 30079 109.54
    job         Job_21_54_20 60202 40068 77.88 painter
    job         Job_91_13_38 60176 30073 65.65 inspector
    job         Job_13_46_63 60298 30106 91.03
    job         Job_13_58_13 60293 30104 36.30 stevedore
    job         Job_87_16_83 60198 40067 96.24 janitor engineer
    job         Job_96_51_85 60105 40039 87.40 captain electrician stevedore
    job         Job_17_60_15 60039 40010 74.65 mate driver
    job         Job_79_55_51 60240 30088 22.60 carpenter
    job         Job_36_96_78 60242 30089 44.74 inspector cleaner craneOperator
    job         Job_29_34_37 60090 40029 60.28 painter engineer
    job         Job_44_96_43 60065 30029 93.01 captain
    job         Job_37_76_28 60258 40081 58.84 mechanic craneOperator captain clerk
    job         Job_23_46_91 60077 40020 68.30 mechanic mate clerk
    job         Job_97_94_22 60244 30090 28.14
    job         Job_36_66_15 60054 30021 83.19
    job         Job_32_92_99 60048 40016 119.96 mate clerk
    job         Job_81_49_12 60221 30080 92.50 crew
    job         Job_82_96_96 60140 40042 98.50
    job         Job_77_21_97 60152 40050 51.09 cleaner
    job         Job_48_17_90 60194 40064 107.71 electrician
    job         Job_24_57_20 60302 30109 78.52 driver
    job         Job_85_28_87 60292 30103 82.64 crew
    job         Job_24_49_43 60326 40111 78.92
    job         Job_19_67_81 60300 30108 95.57
    job         Job_51_77_12 60009 30009 108.49 stevedore mechanic
    job         Job_66_54_91 60304 30110 77.40
    job         Job_38_16_10 60024 30019 55.54
    job         Job_45_69_99 60376 40123 22.79 driver craneOperator
    job         Job_83_16_96 60373 40121 38.43 engineer
    job         Job_19_24_49 60218 40078 45.25 clerk craneOperator
    job         Job_36_27_10 60006 30004 59.02 janitor
    job         Job_11_20_26 60094 40031 96.31
    job         Job_31_27_34 60377 40123 86.10 stevedore craneOperator
    job         Job_57_24_55 60168 30065 74.38 carpenter
    job         Job_42_95_12 60000 30000 94.29 captain
    job         Job_66_44_37 60291 30102 42.03 cleaner stevedore inspector
    job         Job_44_21_14 60279 40095 39.38 mechanic electrician engineer
    job         Job_99_44_98 60030 40005 37.86
    job         Job_39_24_27 60172 30069 105.92 mechanic
    job         Job_68_73_18 60212 40075 37.42 captain painter captain
